Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",115.316000,-106.934000,-90.000000,top
"C2","0.1uf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",146.540000,-90.679000,-90.000000,top
"C3","0.1uf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",130.810000,-90.547000,90.000000,top
"C4","10uf","C_0603_1608Metric",154.699000,-94.488000,180.000000,top
"D3","WS2812B","WS2812B",151.040000,-90.424000,0.000000,top
"D5","WS2812B","WS2812B",158.640000,-90.424000,0.000000,top
"J1","Micro_SD_Card_Det_Hirose_DM3AT","HRS_DM3CS-SF",120.750000,-89.850000,90.000000,top
"Q1","AO3400A","SOT95P280X125-3N",120.904000,-110.490000,180.000000,top
"Q2","AO3400A","SOT95P280X125-3N",116.586000,-110.490000,180.000000,top
"R1","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",132.525000,-84.582000,0.000000,top
"R2","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",132.575000,-94.488000,0.000000,top
"R3","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",132.525000,-86.072000,180.000000,top
"R4","56k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",139.047500,-92.682000,0.000000,top
"R5","15k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",139.041500,-91.186000,180.000000,top
"R6","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",125.984000,-112.926500,90.000000,top
"R7","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",125.984000,-106.172000,-90.000000,top
"R8","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",125.984000,-102.616000,-90.000000,top
